text	favorited	favoriteCount	replyToSN	created	truncated	replyToSID	id	replyToUID	statusSource	screenName	retweetCount	isRetweet	retweeted	longitude	latitude
"Houston, TX:
https://t.co/nvHRnfi2N7

Las Vegas, NV
https://t.co/ksU8AGrFBS

Phoenix, AZ:
https://t.co/PVB6QX7VpK https://t.co/2ToWwthEeF"	FALSE	9866.0	NA	2016-06-16T20:38:38Z	FALSE	NA	743543327467810817	NA	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	realDonaldTrump	3532.0	FALSE	FALSE	NA	NA
Join me in Houston, Texas tomorrow night at 7pm! Tickets: https://t.co/nvHRnfzEbH https://t.co/Yd3f8xLpPl	FALSE	10237.0	NA	2016-06-16T19:16:23Z	FALSE	NA	743522630230228993	NA	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	realDonaldTrump	3466.0	FALSE	FALSE	NA	NA
"""Donald Trumps Speech Is a Game Changer."" https://t.co/VXjtSivvuU https://t.co/J777QHdYa3"	FALSE	13966.0	NA	2016-06-16T16:59:00Z	FALSE	NA	743488055240196096	NA	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	realDonaldTrump	4802.0	FALSE	FALSE	NA	NA
The trade deficit rose to a 7yr high thanks to horrible trade policies Clinton supports. I will fix it fast- JOBS! https://t.co/jaGeN4u50U	FALSE	13232.0	NA	2016-06-16T16:54:39Z	FALSE	NA	743486962670141440	NA	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	realDonaldTrump	5124.0	FALSE	FALSE	NA	NA
"McAllen, Texas- 8 miles from 
U.S. - Mexico border. #Trump2016 
Video: https://t.co/pQ4nSTnVrK https://t.co/dKBTP1QjH3"	FALSE	9407.0	NA	2016-06-16T16:50:00Z	FALSE	NA	743485792585146368	NA	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	realDonaldTrump	3644.0	FALSE	FALSE	NA	NA
"""@realericjallen: @realDonaldTrump is a Common Sense Conservative! President Trump=Competence, Safety, Unity, &amp; US JOBS, JOBS, JOB."	FALSE	15343.0	NA	2016-06-16T02:36:46Z	FALSE	NA	743271067238674432	NA	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	realDonaldTrump	4844.0	FALSE	FALSE	NA	NA
I will be interviewed on @greta at 7:00 P.M.  @FoxNews	FALSE	9284.0	NA	2016-06-15T22:49:53Z	FALSE	NA	743213971122044928	NA	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	realDonaldTrump	2059.0	FALSE	FALSE	NA	NA
"Finally an accurate story from the Washington Post!
https://t.co/0nNKEBSd73"	FALSE	10947.0	NA	2016-06-15T21:25:14Z	FALSE	NA	743192668017205249	NA	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	realDonaldTrump	3657.0	FALSE	FALSE	NA	NA
"Join me in Dallas, Texas on Thursday!
#AmericaFirst #Trump2016 
https://t.co/fX0kXZUNqz https://t.co/c7sCbHDAQh"	FALSE	12741.0	NA	2016-06-15T20:52:45Z	FALSE	NA	743184492907610112	NA	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	realDonaldTrump	4496.0	FALSE	FALSE	NA	NA
Thank you Atlanta, Georgia! Will be back soon! #AmericaFirst https://t.co/cVJvfcoGOt	FALSE	14517.0	NA	2016-06-15T20:04:47Z	FALSE	NA	743172421654568960	NA	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	realDonaldTrump	3767.0	FALSE	FALSE	NA	NA
