Team	Plays	Yards	Result
NE	3	9	punt
ATL	4	32	punt
NE	9	41	punt
ATL	5	24	punt
NE	5	53	fumble
ATL	5	71	td
NE	3	8	punt
ATL	5	62	td
NE	12	52	int
NE	11	52	fg
ATL	3	4	punt
NE	3	-2	punt
ATL	8	85	td
NE	13	75	td
ATL	3	-15	punt
NE	12	72	fg
ATL	3	-2	fumble
NE	5	25	td
ATL	6	45	punt
NE	10	91	td
ATL	4	16	punt
NE	1	13	end
NE	8	75	td
